OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
146467,843COW,3/5/2009,9.2,280,40.367308,-105.664583
146378,843COW,11/16/2008,1.2,345,40.358716,-105.656541
146816,856,11/7/2008,0,245,40.415933,-105.646525
68067,881,11/7/2008,0,215,40.410008,-105.644883
146812,856,11/7/2008,0,305,40.412341,-105.644525
68069,881,11/7/2008,0,30,40.411333,-105.644233
68070,881,11/7/2008,0,205,40.411191,-105.644183
68068,881,11/7/2008,0,55,40.41115,-105.644
146819,856,11/7/2008,1.2,290,40.410891,-105.643533
146815,856,11/7/2008,0,145,40.4123,-105.643416
146817,856,11/7/2008,0,130,40.415616,-105.642575
146818,856,11/7/2008,5.8,300,40.414458,-105.641991
146485,843COW,3/28/2009,8.1,285,40.373875,-105.641483
146417,843COW,12/19/2008,2.3,285,40.358466,-105.640833
146418,843COW,12/21/2008,1.2,0,40.3479,-105.640383
146814,856,11/7/2008,0,120,40.410191,-105.640366
68066,881,11/7/2008,0,75,40.409691,-105.639216
146445,843COW,1/29/2009,2.3,20,40.366358,-105.631858
146389,843COW,11/25/2008,1.2,200,40.347033,-105.6249
69621,881,12/12/2008,0,235,40.408275,-105.624716
146397,843COW,12/1/2008,0,205,40.355808,-105.622133
146432,843COW,1/9/2009,0,255,40.359483,-105.620341
146480,843COW,3/22/2009,9.2,200,40.332333,-105.62015
146443,843COW,1/21/2009,0,295,40.355308,-105.616908
146374,843COW,11/14/2008,0,210,40.348416,-105.615308
146444,843COW,1/28/2009,0,160,40.360791,-105.615108
146371,843COW,11/11/2008,1.2,60,40.335133,-105.613833
146405,843COW,12/8/2008,0,335,40.338683,-105.613325
146368,843COW,11/9/2008,0,330,40.375875,-105.612866
146369,843COW,11/10/2008,1.2,5,40.357716,-105.611075
146450,843COW,2/4/2009,0,315,40.373041,-105.610291
146410,843COW,12/13/2008,1.2,5,40.347141,-105.610016
146376,843COW,11/16/2008,0,215,40.3535,-105.609966
146390,843COW,11/25/2008,0,335,40.35575,-105.609191
146421,843COW,12/24/2008,1.2,10,40.379833,-105.609091
146370,843COW,11/10/2008,1.2,305,40.3554,-105.608625
146476,843COW,3/21/2009,0,345,40.359016,-105.608541
146482,843COW,3/24/2009,1.2,320,40.359533,-105.608183
146372,843COW,11/11/2008,1.2,25,40.351983,-105.608158
146379,843COW,11/17/2008,1.2,5,40.341791,-105.607975
146489,843COW,4/1/2009,1.2,300,40.368508,-105.606958
146460,843COW,2/23/2009,0,205,40.370041,-105.606675
146409,843COW,12/13/2008,0,15,40.349616,-105.605858
146422,843COW,12/30/2008,0,340,40.349458,-105.605325
146375,843COW,11/15/2008,0,210,40.3701,-105.605283
146416,843COW,12/19/2008,0,0,40.337416,-105.605283
146459,843COW,2/23/2009,1.2,130,40.372991,-105.605258
146415,843COW,12/17/2008,0,345,40.35465,-105.604775
146475,843COW,3/20/2009,0,235,40.354516,-105.604733
146427,843COW,1/2/2009,2.3,280,40.360433,-105.604416
146412,843COW,12/16/2008,0,165,40.346541,-105.604341
68065,881,11/7/2008,0,335,40.390516,-105.6036
146439,843COW,1/17/2009,0,335,40.3552,-105.603275
146442,843COW,1/20/2009,3.5,0,40.335208,-105.603233
146381,843COW,11/18/2008,0,255,40.355675,-105.602916
146462,843COW,3/3/2009,1.2,0,40.351566,-105.602891
