OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x,within_park,elevation,land_cover
146467,843COW,3/5/2009,9.2,280,40.367308,-105.664583,True,3315.855,52.0
146378,843COW,11/16/2008,1.2,345,40.358716,-105.656541,True,2985.6926,52.0
146816,856,11/7/2008,0.0,245,40.415933,-105.646525,True,2807.4375,52.0
68067,881,11/7/2008,0.0,215,40.410008,-105.644883,True,2606.8967,52.0
146812,856,11/7/2008,0.0,305,40.412341,-105.644525,True,2633.621,52.0
68069,881,11/7/2008,0.0,30,40.411333,-105.644233,True,2616.29,52.0
68070,881,11/7/2008,0.0,205,40.411191,-105.644183,True,2614.192,52.0
68068,881,11/7/2008,0.0,55,40.41115,-105.644,True,2614.996,52.0
146819,856,11/7/2008,1.2,290,40.410891,-105.643533,True,2614.0828,52.0
146815,856,11/7/2008,0.0,145,40.4123,-105.643416,True,2634.0479,52.0
146817,856,11/7/2008,0.0,130,40.415616,-105.642575,True,2807.534,52.0
146818,856,11/7/2008,5.8,300,40.414458,-105.641991,True,2727.1763,52.0
146485,843COW,3/28/2009,8.1,285,40.373875,-105.641483,True,2987.9182,52.0
146417,843COW,12/19/2008,2.3,285,40.358466,-105.640833,True,2824.7402,52.0
146418,843COW,12/21/2008,1.2,0,40.3479,-105.640383,True,2684.265,52.0
146814,856,11/7/2008,0.0,120,40.410191,-105.640366,True,2613.3801,52.0
68066,881,11/7/2008,0.0,75,40.409691,-105.639216,True,2607.2795,52.0
146445,843COW,1/29/2009,2.3,20,40.366358,-105.631858,True,2890.7217,52.0
146389,843COW,11/25/2008,1.2,200,40.347033,-105.6249,True,2668.9915,52.0
69621,881,12/12/2008,0.0,235,40.408275,-105.624716,True,2677.5664,52.0
146397,843COW,12/1/2008,0.0,205,40.355808,-105.622133,True,2469.1475,52.0
146432,843COW,1/9/2009,0.0,255,40.359483,-105.620341,True,2517.35,52.0
146480,843COW,3/22/2009,9.2,200,40.332333,-105.62015,True,2765.907,52.0
146443,843COW,1/21/2009,0.0,295,40.355308,-105.616908,True,2462.805,52.0
146374,843COW,11/14/2008,0.0,210,40.348416,-105.615308,True,2476.9517,52.0
146444,843COW,1/28/2009,0.0,160,40.360791,-105.615108,True,2541.5562,52.0
146371,843COW,11/11/2008,1.2,60,40.335133,-105.613833,True,2611.613,52.0
146405,843COW,12/8/2008,0.0,335,40.338683,-105.613325,True,2605.973,52.0
146368,843COW,11/9/2008,0.0,330,40.375875,-105.612866,True,2625.4138,52.0
146369,843COW,11/10/2008,1.2,5,40.357716,-105.611075,True,2474.5576,52.0
146450,843COW,2/4/2009,0.0,315,40.373041,-105.610291,True,2577.272,52.0
146410,843COW,12/13/2008,1.2,5,40.347141,-105.610016,True,2469.3904,52.0
146376,843COW,11/16/2008,0.0,215,40.3535,-105.609966,True,2456.2446,52.0
